"","p_val","gene","diffexpressed","celltype"
"314",0.000587824616496559,"Gsdme","UP","inhibitory"
"315",0.000649577684230113,"Srsf5","UP","inhibitory"
"316",0.000669880499608187,"Hecw2","DOWN","inhibitory"
"317",0.000706353922378916,"Nbea","UP","inhibitory"
"318",0.000739892993966424,"Lrrn1","DOWN","inhibitory"
"319",0.000753302404280887,"Trpc6","UP","inhibitory"
"320",0.000787064231558638,"Itpk1","DOWN","inhibitory"
"321",0.000802604934296815,"Ndst3","UP","inhibitory"
"322",0.000803194900497103,"Col19a1","UP","inhibitory"
"323",0.000806074641744016,"Sdk1","UP","inhibitory"
"324",0.000824378153581597,"Map7","DOWN","inhibitory"
"325",0.000858946004503628,"Rnf144b","UP","inhibitory"
"326",0.000887127738063429,"Kif26b","DOWN","inhibitory"
"327",0.000894299460967851,"Zeb1","UP","inhibitory"
"328",0.000902065260367604,"A830082K12Rik","UP","inhibitory"
"329",0.000910283115961127,"Ptprt","DOWN","inhibitory"
"330",0.000914720315047144,"Gm28501","UP","inhibitory"
"331",0.00093497519869639,"Unc13a","UP","inhibitory"
"332",0.00098714414327269,"Gm48742","UP","inhibitory"
"333",0.00106559410558842,"E130308A19Rik","DOWN","inhibitory"
"334",0.00106564559514485,"A230004M16Rik","UP","inhibitory"
"335",0.00107091428096503,"Gm1604a","UP","inhibitory"
"336",0.00108773239411643,"Sox1ot","UP","inhibitory"
"337",0.0011906782749299,"Egfr","UP","inhibitory"
"338",0.00127628000390051,"Cdh11","UP","inhibitory"
"339",0.00127662857069745,"Hipk2","DOWN","inhibitory"
"340",0.00136048529160004,"4930517O19Rik","UP","inhibitory"
"341",0.00137429084366114,"Itgb3bp","UP","inhibitory"
"342",0.00142974532462026,"Zfp692","UP","inhibitory"
"343",0.00147806690140944,"Vip","UP","inhibitory"
"344",0.00156406731051112,"Ccnl2","UP","inhibitory"
"345",0.00160487010473173,"Myef2","UP","inhibitory"
"346",0.00161582000504931,"Ddhd2","UP","inhibitory"
"347",0.00162774200159121,"Nr2f1","UP","inhibitory"
"348",0.00164399737763027,"4930590L20Rik","UP","inhibitory"
"349",0.00166448489863138,"Man1a","DOWN","inhibitory"
"350",0.00167661595513002,"Csf2ra","UP","inhibitory"
"351",0.00173035382271029,"Mrps26","UP","inhibitory"
"352",0.00184953487432338,"5330434G04Rik","UP","inhibitory"
"353",0.00186047102151523,"Arhgap31","DOWN","inhibitory"
"354",0.0018797497198812,"Fndc3a","UP","inhibitory"
"355",0.00195060080670857,"Cit","UP","inhibitory"
"356",0.00197669413031067,"Mobp","DOWN","inhibitory"
"357",0.00202439990358108,"Sorbs2os","UP","inhibitory"
"358",0.00210337514212133,"Cep112","UP","inhibitory"
"359",0.0021061497014223,"Zfp804a","UP","inhibitory"
"360",0.00218476942700316,"Acsl3","UP","inhibitory"
"361",0.00221999615604106,"Gm12296","UP","inhibitory"
"362",0.00222721961270009,"Gm28379","UP","inhibitory"
"363",0.00230161705059309,"Ssbp4","UP","inhibitory"
"364",0.00230297401873922,"Fign","DOWN","inhibitory"
"365",0.00235732794778695,"Plxdc2","DOWN","inhibitory"
"366",0.00247444014192789,"Lrif1","UP","inhibitory"
"367",0.00247548101434181,"Fstl4","UP","inhibitory"
"368",0.00252929427304844,"Prkd1","UP","inhibitory"
"369",0.00256479059075466,"Rbfox1","DOWN","inhibitory"
"370",0.00260222777823237,"Cdh8","UP","inhibitory"
"371",0.00266254119044165,"Fabp5","UP","inhibitory"
"372",0.00274972203377798,"Ptgds","DOWN","inhibitory"
"373",0.00279625839405103,"Cntnap5c","UP","inhibitory"
"374",0.00296743501956313,"Mal","DOWN","inhibitory"
"375",0.00302429142386937,"Ankrd55","UP","inhibitory"
"376",0.00302845723104309,"Bcl11a","UP","inhibitory"
